               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057418,            0.031254,            0.020326,             0.43552,             0.91613,             0.64711,             0.17624,            0.040651,            0.015449,            0.013122,           0.0059991,           0.0059991,            0.032999
                  37,            0.058675,            0.025401,            0.023595,             0.37557,             0.99739,             0.74579,             0.29083,            0.031722,            0.015811,            0.013339,           0.0061264,           0.0061264,            0.031126
                  38,            0.056021,            0.029387,            0.021199,             0.51782,             0.83103,             0.58051,             0.16324,            0.047377,            0.014277,            0.012541,           0.0062516,           0.0062516,            0.029252
                  39,            0.068233,            0.022972,             0.02529,             0.51782,             0.83103,             0.58051,             0.16324,            0.047377,            0.014277,            0.012541,           0.0063749,           0.0063749,            0.027375
                  40,            0.073722,            0.021703,            0.018156,             0.42482,             0.83333,             0.52365,              0.1982,            0.044817,            0.012935,            0.010943,           0.0064962,           0.0064962,            0.025496
                  41,            0.063129,            0.023061,            0.020331,             0.63371,             0.55629,             0.44394,             0.21171,            0.044725,            0.012513,           0.0098411,           0.0066155,           0.0066155,            0.023616
                  42,            0.064418,            0.018553,             0.01749,             0.63371,             0.55629,             0.44394,             0.21171,            0.044725,            0.012513,           0.0098411,           0.0067329,           0.0067329,            0.021733
                  43,            0.066399,            0.021687,            0.020872,             0.31993,             0.91667,             0.52785,              0.1753,            0.039547,            0.012936,           0.0088018,           0.0068482,           0.0068482,            0.019848
                  44,            0.065439,            0.022821,            0.020716,             0.31993,             0.91667,             0.52785,              0.1753,            0.039547,            0.012936,           0.0088018,           0.0069616,           0.0069616,            0.017962
                  45,            0.060052,             0.02181,            0.016293,             0.81658,             0.66667,             0.66578,             0.25518,            0.042578,            0.012214,           0.0088175,            0.007073,            0.007073,            0.016073
                  46,            0.061412,            0.019633,            0.015847,             0.81658,             0.66667,             0.66578,             0.25518,            0.042578,            0.012214,           0.0088175,           0.0071824,           0.0071824,            0.014182
                  47,               0.063,            0.028406,            0.019269,             0.20134,             0.91518,             0.34731,            0.073221,            0.037074,            0.012282,           0.0086593,           0.0072898,           0.0072898,             0.01229
                  48,            0.057611,            0.020294,            0.014182,             0.20134,             0.91518,             0.34731,            0.073221,            0.037074,            0.012282,           0.0086593,           0.0073953,           0.0073953,            0.010395
                  49,            0.054336,            0.024362,            0.013442,             0.64461,             0.83152,             0.83706,             0.42008,            0.032701,            0.011884,           0.0081313,           0.0074988,           0.0074988,           0.0084988
                  50,            0.059722,            0.025013,            0.015557,             0.64461,             0.83152,             0.83706,             0.42008,            0.032701,            0.011884,           0.0081313,            0.007525,            0.007525,            0.007525
                  51,            0.058075,            0.020507,            0.014082,             0.46613,             0.73759,             0.62221,             0.22879,            0.044782,            0.011797,           0.0081693,            0.007525,            0.007525,            0.007525
                  52,            0.061115,            0.015038,            0.018053,             0.46613,             0.73759,             0.62221,             0.22879,            0.044782,            0.011797,           0.0081693,           0.0074755,           0.0074755,           0.0074755
                  53,            0.068165,            0.018824,            0.014548,             0.68071,             0.74915,             0.83917,             0.42944,            0.040899,            0.010913,           0.0075757,            0.007426,            0.007426,            0.007426
                  54,            0.062561,            0.019057,            0.017395,             0.68071,             0.74915,             0.83917,             0.42944,            0.040899,            0.010913,           0.0075757,           0.0073765,           0.0073765,           0.0073765
                  55,            0.060157,            0.027018,            0.012922,              0.5725,             0.83238,             0.77212,             0.38402,            0.039719,            0.010531,           0.0065146,            0.007327,            0.007327,            0.007327
                  56,            0.054974,            0.020524,            0.014023,              0.5725,             0.83238,             0.77212,             0.38402,            0.039719,            0.010531,           0.0065146,           0.0072775,           0.0072775,           0.0072775
                  57,               0.056,            0.018557,            0.010855,             0.69786,             0.83333,              0.8386,             0.40343,            0.033789,            0.010489,           0.0055364,            0.007228,            0.007228,            0.007228
