               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063737,            0.026419,            0.019846,             0.35661,                0.75,             0.47539,             0.29493,            0.038376,            0.014745,            0.013922,           0.0064328,           0.0064328,            0.033433
                  37,            0.065847,            0.025588,            0.023977,              0.7977,                0.45,             0.65635,             0.33081,            0.038523,            0.014244,            0.013115,           0.0065842,           0.0065842,            0.031584
                  38,            0.067048,              0.0257,            0.020348,             0.82415,                0.45,             0.70345,             0.27009,            0.040366,            0.013672,            0.012167,           0.0067344,           0.0067344,            0.029734
                  39,            0.070804,            0.025604,            0.020313,             0.82415,                0.45,             0.70345,             0.27009,            0.040366,            0.013672,            0.012167,           0.0068833,           0.0068833,            0.027883
                  40,             0.06414,            0.021059,            0.020397,             0.53628,             0.83333,             0.72995,             0.31879,            0.034103,             0.01351,            0.010766,           0.0070308,           0.0070308,            0.026031
                  41,            0.060807,              0.0258,            0.020749,              0.7057,             0.51448,              0.5915,             0.22333,            0.045412,            0.012211,           0.0096804,            0.007177,            0.007177,            0.024177
                  42,            0.063843,            0.025756,            0.015079,              0.7057,             0.51448,              0.5915,             0.22333,            0.045412,            0.012211,           0.0096804,           0.0073219,           0.0073219,            0.022322
                  43,            0.067566,            0.025507,            0.019818,             0.48821,             0.83333,             0.63051,             0.14756,            0.045168,            0.012104,           0.0090254,           0.0074655,           0.0074655,            0.020465
                  44,            0.071351,            0.021075,            0.015301,             0.48821,             0.83333,             0.63051,             0.14756,            0.045168,            0.012104,           0.0090254,           0.0076077,           0.0076077,            0.018608
                  45,            0.072876,            0.020034,            0.016641,             0.48409,             0.83295,             0.64478,             0.18143,            0.045098,            0.011509,           0.0080326,           0.0077486,           0.0077486,            0.016749
                  46,             0.07277,            0.021982,            0.017731,             0.48409,             0.83295,             0.64478,             0.18143,            0.045098,            0.011509,           0.0080326,           0.0078883,           0.0078883,            0.014888
                  47,            0.068978,             0.02028,            0.014628,             0.38199,             0.86434,             0.47356,             0.16989,            0.050286,            0.011897,           0.0077225,           0.0080266,           0.0080266,            0.013027
                  48,            0.067376,            0.016678,            0.011796,             0.38199,             0.86434,             0.47356,             0.16989,            0.050286,            0.011897,           0.0077225,           0.0081635,           0.0081635,            0.011164
                  49,            0.061457,            0.016113,            0.010662,             0.45365,             0.86609,             0.63571,             0.40901,            0.050815,            0.011253,           0.0068175,           0.0082992,           0.0082992,           0.0092992
                  50,            0.071001,            0.018975,            0.011496,             0.45365,             0.86609,             0.63571,             0.40901,            0.050815,            0.011253,           0.0068175,             0.00835,             0.00835,             0.00835
                  51,             0.07078,            0.017522,             0.01146,             0.47989,                   1,             0.83667,             0.36458,            0.041789,            0.010657,           0.0058241,             0.00835,             0.00835,             0.00835
                  52,            0.061062,            0.019757,            0.010196,             0.47989,                   1,             0.83667,             0.36458,            0.041789,            0.010657,           0.0058241,            0.008317,            0.008317,            0.008317
                  53,            0.069063,            0.017713,            0.015197,             0.26567,             0.66653,             0.38599,             0.10368,            0.045979,            0.009704,           0.0051744,            0.008284,            0.008284,            0.008284
                  54,            0.067392,            0.019189,            0.012082,             0.26567,             0.66653,             0.38599,             0.10368,            0.045979,            0.009704,           0.0051744,            0.008251,            0.008251,            0.008251
                  55,            0.061222,            0.028433,            0.011708,             0.70022,             0.64881,             0.75579,             0.22218,            0.036457,           0.0099376,           0.0048063,            0.008218,            0.008218,            0.008218
                  56,            0.052852,             0.01881,            0.011097,             0.70022,             0.64881,             0.75579,             0.22218,            0.036457,           0.0099376,           0.0048063,            0.008185,            0.008185,            0.008185
                  57,            0.061897,            0.021162,            0.011238,             0.71445,             0.82753,             0.88032,             0.37883,             0.03238,           0.0098847,           0.0043166,            0.008152,            0.008152,            0.008152
                  58,            0.056972,            0.018363,            0.009625,             0.71445,             0.82753,             0.88032,             0.37883,             0.03238,           0.0098847,           0.0043166,            0.008119,            0.008119,            0.008119
                  59,            0.059299,            0.017992,            0.013101,             0.91662,             0.61667,             0.80981,             0.32571,            0.033324,           0.0095457,           0.0038334,            0.008086,            0.008086,            0.008086
                  60,            0.060399,             0.01519,            0.013129,             0.91662,             0.61667,             0.80981,             0.32571,            0.033324,           0.0095457,           0.0038334,            0.008053,            0.008053,            0.008053
                  61,            0.057055,            0.019675,           0.0095101,             0.90386,              0.6809,             0.80247,             0.25711,            0.035909,           0.0092453,           0.0036067,             0.00802,             0.00802,             0.00802
                  62,            0.057153,            0.019599,            0.011594,             0.90386,              0.6809,             0.80247,             0.25711,            0.035909,           0.0092453,           0.0036067,            0.007987,            0.007987,            0.007987
                  63,            0.058752,            0.015629,            0.010663,              0.4718,                   1,             0.74265,             0.26499,            0.034217,           0.0090065,           0.0035328,            0.007954,            0.007954,            0.007954
                  64,            0.058036,            0.015526,            0.010258,              0.4718,                   1,             0.74265,             0.26499,            0.034217,           0.0090065,           0.0035328,            0.007921,            0.007921,            0.007921
                  65,            0.053723,            0.017053,           0.0073244,             0.57036,             0.79675,             0.70387,              0.2262,            0.041801,           0.0095079,           0.0033364,            0.007888,            0.007888,            0.007888
                  66,            0.062587,            0.013173,           0.0066847,             0.57036,             0.79675,             0.70387,              0.2262,            0.041801,           0.0095079,           0.0033364,            0.007855,            0.007855,            0.007855
                  67,            0.069409,            0.019729,           0.0092489,             0.52253,                   1,             0.77675,             0.42749,            0.030463,           0.0085644,           0.0032896,            0.007822,            0.007822,            0.007822
                  68,            0.054891,            0.018521,            0.012065,             0.52253,                   1,             0.77675,             0.42749,            0.030463,           0.0085644,           0.0032896,            0.007789,            0.007789,            0.007789
                  69,            0.054338,            0.015263,            0.008012,             0.47053,             0.99866,             0.67595,              0.1909,            0.038553,           0.0082624,           0.0029998,            0.007756,            0.007756,            0.007756
                  70,            0.055426,            0.015556,           0.0077105,             0.47053,             0.99866,             0.67595,              0.1909,            0.038553,           0.0082624,           0.0029998,            0.007723,            0.007723,            0.007723
                  71,            0.056726,            0.016792,           0.0088364,             0.75673,             0.85524,             0.84235,              0.2778,             0.03322,            0.007967,           0.0029381,             0.00769,             0.00769,             0.00769
                  72,            0.060871,            0.015003,           0.0068424,             0.75673,             0.85524,             0.84235,              0.2778,             0.03322,            0.007967,           0.0029381,            0.007657,            0.007657,            0.007657
